"id","city","description","homeType","latitude","longitude","garageSpaces","hasSpa","yearBuilt","numOfPatioAndPorchFeatures","lotSizeSqFt","avgSchoolRating","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms"
22,"austin","Stunning and newly remodeled 4 bedroom, 3 bath home with 2644 square feet in Austin! Gorgeous design details throughout including high ceilings, crown moulding, lovely alcoves, wood floors and large windows. There are two separate living areas, both with warm colored hardwood floors and beautiful curtains. The formal living room is expansive and perfect for entertaining with two oversized windows, an ornate chandelier and a view out to the front yard. A second room offers a beautiful wood burning/gas assist fireplace with patterned tile surround and crown moulding mantle and a speaker system. The chef’s kitchen features travertine floors, granite countertops, tile backsplash, recessed lights, newer stainless steel appliances, a dining area with stunning Tiffany style light fixture, lots of cabinetry and a huge, deep shelved pantry room. All of the bedrooms are generously sized and the master has wood floors, a walk-in closet and enormous en suite bath with sparlking tile floors, an oversized dual vanity, large oval soaking tub, separate shower and water closet. There is flex space with an arched entryway upstairs along with three bedrooms. Both the front and back yards have pristine, mature landscaping, and the backyard has a wood/concrete patio area with privacy fence and lush grass. Attic area upstairs, two-car garage, separate laundry room offers plenty of storage. Separate laundry room. HOA has community center with tennis courts, playscape, swimming pools. Close to 183 and 45. Fresh paint and new HVAC. Absolutely incredible in every way. This will go fast. Schedule a showing with REX today!","Single Family",30.4931621551514,-97.7697830200195,0,FALSE,1996,0,6594,8,16,3,4
23,"austin","Located on a coveted greenbelt lot in Steiner Ranch, this home includes 3,192 sqft of living space (per TCAD), 5 bedrooms, 3.5 baths, a home office, a game room and much more. Upgrades include beautiful hardwood flooring, crown moldings, family room fireplace with stone surround, recessed accent lighting, and the list continues.

The recently remodeled kitchen includes white cabinetry, granite counters and tons of natural light.  The master bathroom was also remodeled recently and includes a double vanity, custom cabinetry, a separate shower and tub, and a HUGE master closet that must-be-seen!

The backyard is equally amazing: there is a beautiful wood deck situated beneath the canopies of several tall trees — simply perfect for entertaining. There are also several patio areas and a firepit too! In addition to all this entertaining space, there is still plenty of grassy yard space to enjoy.

In addition to all these wonderful features, this home also includes an energy saving 3kW photo-voltaic solar panel system, a 16 SEER air conditioning unit upstairs, upgraded insulation and duct sealing (all completed in 2013).","Single Family",30.3774890899658,-97.8902969360352,2,FALSE,1994,0,8276,8.33333333333333,17,4,5
24,"austin","It is my pleasure to present this Stunning Home on the highly coveted Paramount Ave.! This home has been meticulously remodeled down to the studs! Throughout you will see impeccable finishes including: White Oak floors, Custom Kitchen & bath cabinets, Thermador range & dishwasher, Bosch refrigerator, Quartz counters & much more! Amazing floor plan w/ Master down w/ a large walk-in closet & another bedroom on the 1st floor w/ a second Master suite upstairs w/ a massive walk-in closet! Pool is a rendering. Sprinkler Sys:Yes","Single Family",30.2534923553467,-97.7761306762695,2,TRUE,1951,0,7187,6.66666666666667,16,3,3
25,"austin","Two story home with 3 bedrooms, 2.5 baths, with the master bedroom upstairs, 2 living rooms, one upstairs and one downstairs, corner lot, with 9-foot ceilings and 42' cabinets.","Single Family",30.1483764648438,-97.7404861450195,2,FALSE,2014,0,5401,5.33333333333333,15,3,3
26,"austin","AMAZING LOW PRICE IN AVERY BROOKSIDE-Fantastic investment, as Brookside section pricing is nearly all $500's to $700's. It's a 1 1/2 story floorplan everyone wants. Open, airy, & 1 block from Avery Ranch Amenities, it's hard to find a reason not to jump on this one. Open concept layout w/ beds down. Upstairs can be man-cave/bedroom/game room. Just a hop, skip, & jump to new Apple campus. Well-maintained & ready to go, it really is a unique opp'ty at a time when nearly nothing is available east of Parmer.","Single Family",30.5012607574463,-97.7608108520508,0,FALSE,2004,1,8189,8.33333333333333,16,3,4
27,"austin","One of a kind gem! Are you an owner-occupant who works from home? Need a separate office? Are you an investor with a desire for rental income? Are you searching for a property with A-rated schools? We've got your dream home waiting w/ .33 acres! this property offers a front 2 bed/1 bath bungalow with 992 sq.ft. currently rented MTM. The back unit has 2 floors - a 1st floor efficiency(442 sqft) w/ kitchenette, bath, fenced yard and carport-Perfect for a detached office! Upstairs apartment (800sqft) has 1 bed w/ vaulted ceilings, tons of natural light and laundry - currently rented through 9/30/19. Perks include metal roofs, full sprinkler, ample parking, 1 garage & storage unit!","Single Family",30.3295307159424,-97.7382583618164,4,FALSE,2004,0,14374.8,7,16,3,5
28,"austin","Have the cute 50's bungalow charm with a modern kitchen. Hardwood floors throughout. Great sized bedrooms with lots of windows. Perfect location for those who need access to the University or downtown. House will be unfurnished.

Renter pays all utilities. References required.","Single Family",30.2804946899414,-97.7071914672852,0,FALSE,1952,0,3920,6.66666666666667,15,2,3
29,"austin","This home lives like a single story home with 3064 square feet on main level of home with a 500 square foot bonus room upstairs.  Bonus room has built ins, wet bar and full bath.  Walk in attic has a great amount of storage area.  The kitchen has stainless appliances, double oven, granite counters, center island, walk in pantry and breakfast bar.  Open living and dining area with great stone fireplace opens up to the backyard and stone patio.  Master bath has a soaking tube and walk in shower and walk in closet, double vanity, granite counters and linen closet.","Single Family",30.1896133422852,-97.8957672119141,2,FALSE,1989,0,12632.4,9,18,4,4
30,"austin","6024 Whipple Way, Austin, TX 78745 is a single family home that contains 2,242 sq ft and was built in 2011. It contains 4 bedrooms and 3 bathrooms. 
 
","Single Family",30.2156162261963,-97.8100433349609,0,FALSE,2011,0,9016,4,13,3,4
31,"del valle","**ALL OFFERS WILL BE REVIEWED AT 1PM APRIL 30TH** Affordable Charming single story 3 bedrooms 2 bathrooms home situated in the quiet neighborhood of Del Valle. This lovely home is close to schools and parks.  Perfect home with open floor plan to enjoy with family and friends.  Nice big backyard for Texas BBQ's. This home will not last long.  Make an appointment today.  Seller requires 1 hour notice.","Single Family",30.1684017181396,-97.6179733276367,0,FALSE,2008,0,6534,3.33333333333333,14,2,3
32,"austin","Modern with an 80's architectural flare this home located in beautiful Northwest Hills! A newly remodeled home featuring the perfect blend of functional living and urban design. Upgrades include white oak flooring and modern fixtures throughout. The luxury kitchen impresses with black stainless steel appliances, and sleek quartz countertops. The master bedroom features a bonus room with a gorgeous glass enclosed stand-up shower, freestanding tub and modern fixtures.","Single Family",30.3471717834473,-97.7815475463867,2,FALSE,1984,2,8407,7,16,3,3
33,"austin","4/2 2127sf one story on .306 acres in Barton Hills, re-modeled Master /Bath, Open floor plan. Beautiful stone accents. Walls of windows to mature oaks and expansive deck/covered patio. Large Kitchen -  two ovens, extensive cabinets and prep space. Desk for two. Great neighborhood. Backyard adventures. Storage Shed. Workout on neighborhood hills or relax on greenbelt just one block away.  Walk or bike to Zilker/South Lamar for music, theater, eating out, swimming, shopping, or play.","Single Family",30.2520484924316,-97.7861938476562,2,TRUE,1973,1,13503.6,6,16,2,4
34,"austin","Beautiful single story home located in a good community with great schools. It comes with an open concept. The kitchen and dining area opens up to the living room.Crown molding, hard wood floors in main areas. Large Backyard, lovely landscaping. Do not miss this!","Single Family",30.4933967590332,-97.7688598632812,0,FALSE,1997,1,8276,8,16,2,4
35,"austin","Hidden Gem! Beautiful luxury Meritage Home offers  perfect sanctuary of suburban living  and location close to Downtown and Domain. It features impeccable attention to details. You'll love the soaring ceiling, craftsman iron rail, beautiful windows at every side bringing tons of nature light, large central island, open kitchen, elegant fireplace, stunning spacious upstair... Solidly built with deep foundation. For someone looking for a home truly defines location, style & sophistication, look no further!","Single Family",30.3629856109619,-97.6468200683594,2,FALSE,2008,0,5662,4.33333333333333,12,3,5
36,"austin","Very well maintained home on corner lot!  New hardwood floors, new paint(2016), updated hardware, updated kitchen with hard tile floors, granite counters, stainless steel appliances and refaced cabinets.  Carpet bedrooms and hallway.  Bathrooms updated.  Newly installed siding on back.  Large backyard with new fence, large trees and a covered patio!  Low taxes! Short drive to airport, DT and 130 Toll.","Single Family",30.2460746765137,-97.5854415893555,0,FALSE,1987,0,6229,3,13,3,4
37,"austin","The classic design of this newer Clarksville bungalow on large 0.15 acre lot provides great potential just blocks from downtown and with great restaurants at the end of the block. A rare bonus is the rear-entry garage. The interior is bright and airy with high ceilings and an oversized dining room ideal for entertaining. The iconic front porch is the perfect spot to sit on the swing. Update this home to your personal liking or take advantage of this large lot and build your dream home bordering downtown.","Single Family",30.2754783630371,-97.7589340209961,0,FALSE,1996,0,6897,6,16,2,2
38,"austin","Unit A/B property. These facts are about unit A","Single Family",30.2543334960938,-97.7768173217773,2,FALSE,2019,0,8058,6.66666666666667,16,4,3
39,"austin","Great Modern 3/2.5 house in East Austin, original owners, custom built in 2007 by Central City Builders. Large loft like open living/dining/kitchen layout with high ceilings. Large, private fenced lot overlooking canal/creek, front courtyard and upstairs roof deck. Master Suite upstairs with walk in shower, separate jetted tub and large walk in closet. Separate 2 car garage for added space/storage in front adding additional privacy. On a quiet street just south of Mueller neighborhood, close and easy access to everything downtown and central Austin has to offer. Single-family home with no HOA.","Single Family",30.280740737915,-97.6909332275391,0,FALSE,2007,0,8106,3.33333333333333,13,2.5,3
40,"austin","Gorgeous move in ready home. Brand new HVAC, New Roof, New Yard, Stainless appliances, Smooth finish walls, recessed can lighting, high end counters, custom design elements in every room and bathroom to include custom light fixtures, custom tile, custom mirrors, wood floors throughout house, no carpet, Tankless water heater, new energy efficient windows. As close to a brand new home as possible. This completely custom home will not last long!!!","Single Family",30.3212394714356,-97.7534255981445,2,FALSE,1958,0,9583,7,16,3,4
41,"austin","Well maintained, eco-friendly home. Raised garden beds in front yard; metal roof; 17 SEER AC; solar panels. Screened-in back porch off kitchen opens to large deck made of eco-composite Calideck.  Updated kitchen with farm sink & quartz counters.  Large master includes updated bath with designer tile, soaker tub and double vanity. Finished workshop space in garage with ac & industrial electric fan. Two blocks to Longview Park and Stevenson Nature Preserve.","Single Family",30.2007064819336,-97.8305587768555,2,FALSE,1981,4,6969,4.66666666666667,14,3,3
42,"austin","8515 New Hampshire Dr, Austin, TX 78758 is a single family home that contains 1,070 sq ft and was built in 1968. It contains 3 bedrooms and 2 bathrooms. 
 
","Single Family",30.358097076416,-97.7094421386719,1,FALSE,1968,1,6969,4,14,2,3
43,"austin","Stunning Steiner home located on extremely private cul-de-sac. Stately Steiner Ranch home located on extremely private cul-de-sac. Gorgeous views from every room. Gorgeous backyard backing to greenbelt.  Two awesome decks overlooking the beautiful Texas Hill Country!  Smart owner is a contractor and the home is extremely energey efficient with higher code insulation even in the wall of the garage. Water softener, 3 newish hvac units and tons of storage! One of only five plans like this in the area.","Single Family",30.3724727630615,-97.8785705566406,2,FALSE,2000,1,10890,8.33333333333333,17,4,4
44,"austin","COMING SOON! Large open plan one story home in highly sought after Circle C neighborhood. Oversized lot with manicured landscaping and mature trees. Thoughtfully remodeled chef's kitchen with farmhouse sink, Thermador oven, cooktop and Metro Quartz countertops. Italian tile Flooring in kitchen and laundry room. Natural light illuminates big family room. Spacious office with built-in shelves, in addition to the three good-sized bedrooms. Quiet street with fantastic neighbors! NEW American Standard top of the line HVAC w/ wifi control & Allergen UV Filter. NEW fans and light fixtures. Pride in ownership really shows.","Single Family",30.1824932098389,-97.8913345336914,0,FALSE,1995,1,14374.8,9,18,2,3
45,"austin","9805 Marlborough Dr, Austin, TX 78753 is a single family home that contains 1,508 sq ft and was built in 1971. It contains 4 bedrooms and 2 bathrooms. 
 
","Single Family",30.3570442199707,-97.6745681762695,0,FALSE,1971,1,9583,5,15,2,4
46,"austin","Rare chance to purchase a lot in Northwest Hills and build your dream house with downtown Austin and Hill Country views. Heritage trees are in lot setbacks so plenty of room to build.  There is an existing home on the property which is considered a tear down. It is not historic, just the home built by the original owners in the 1960's without regard for the view and in poor condition with no updating, so it is considered obsolete.
            Build the home you want in one of the most desirable neighborhoods in Austin.","Single Family",30.3531112670898,-97.7665100097656,2,FALSE,1962,0,15246,7,16,5,3
47,"austin","Beautiful single story 4 bed home features open concept living, kitchen and dining areas. Recently updated wood floors and carpet. Lots of windows, high ceilings/beautiful archways. Kitchen features breakfast bar, Corian counters & SS appliances. Enjoy sitting in enclosed sunroom looking out to beautiful large trees & lush landscaping in the backyard. Neighborhood features 2 parks, nature trails for hiking/biking. 10 minutes to downtown and minutes to shopping and dining at Southpark Meadows","Single Family",30.1505126953125,-97.7867660522461,0,FALSE,2006,1,7884,5.33333333333333,15,3,4
48,"austin","Remodeled- modern single story Austin home! Fully fenced in yard that backs to green space, with mature trees & no back neighbors. Short distance to the local park, and close to the airport, 5 miles to downtown Austin, shopping and dining. Open floor plan, with spacious living area, and features 3 bedrooms and 2 full bathrooms. New Roof a plus!","Single Family",30.2009983062744,-97.7398071289062,2,FALSE,1976,0,6534,3,12,2,3
49,"austin","1400 Westmoor Dr, Austin, TX 78723 is a single family home that contains 1,040 sq ft and was built in 1955. It contains 3 bedrooms and 2 bathrooms. 
 
","Single Family",30.3097038269043,-97.7020797729492,1,FALSE,1955,0,6534,5,15,2,3
50,"austin","SOOOO convenient to highways, shopping, major employers. Quiet complex with pool on the property. Exterior recently rehabbed. Fresh interior paint.","Single Family",30.2042598724365,-97.7635879516602,0,FALSE,1973,0,1089,2.66666666666667,13,3,3
51,"austin","Lovingly maintained and updated, this home is waiting to welcome you! Convenient layout with three bedrooms and two bathrooms (master separate from the others), stainless steel appliances, plantation shutters, new fence and too many other upgrades to list here (see documents). Charming covered porch in front and covered deck in back - plus raised vegetable beds ready for spring planting!","Single Family",30.1588745117188,-97.7795715332031,2,FALSE,2004,2,5227,5.33333333333333,14,2,3
52,"austin","Updated single story on large corner lot in HOT Maple Run! This beautiful home offers 3 bedrooms, 2 baths, and a 2 car garage. Features include vaulted ceilings in the spacious living room, stone fireplace (wood burning with gas lighter), no carpet (all laminate/tile), extended patio/deck, raised garden bed large back yard, and no HOA. The nicely appointed kitchen has stainless steel appliances, granite counters and travertine tile backsplash. Updates in recent years include new roof (2017), windows (2019), water heater (2019), fence (2018), and landscaping (2019). Awesome location in South Austin with easy access to Mopac, downtown Austin, and shopping/restaurants (Arbor Trails, Escarpment Village, Whole Foods, Alamo Drafthouse). Virtual Tour & 3D Walkthrough of Floorplan - https://www.seetheproperty.com/u/349009","Single Family",30.2059803009033,-97.843879699707,6,TRUE,1984,2,8189,4.66666666666667,14,2,3
53,"austin","Own this updated, meticulously maintained 1-story home in Pearson Place. This 2014 built former builder model home features attractive Craftsman exterior, 4 bed, 3 full bath, dedicated study, large dining area, nestled on a 0.263 acre lot surrounded by majestic trees. The impressive landscaping in the front invites you to kick back on the covered front porch. Beautiful glass door greets you home. This retreat has it all – designer paint, wood floors in the main living areas, great natural light, stone fireplace, spacious family room that opens to the kitchen and dining area, crown molding, 5-1/4” baseboard, downlights, upgraded bath hardware and light fixtures. Kitchen boasts granite countertops, upgraded KitchenAid appliances, backsplash and custom maple glazed staggered cabinets, stainless steel undermount sink, skylights in the kitchen. Spacious master suite offers en suite bath with double vanity, granite countertop, large walk-in shower with accent tile surround, and huge walk-in closet. Generous secondary bedrooms. The covered patio offers shade for you to enjoy outdoor living and the back yard is spacious for play.

To make this your next home contact listing agent Eric Peterson with Kopa Real Estate directly at 512-791-7473.","Single Family",30.500732421875,-97.7568054199219,3,FALSE,2014,0,11325.6,8,16,3,4
54,"austin","Huge lot in Barton Hills and close access to Barton Creek & Zilker Park! Great outdoor entertaining with Covered deck and Inground Pool, exrta private w/ 8' Privacy fence. Large Kitchen with Butcher Block Center Island & Breakfast Bar. Anderson Doors to deck. Metal roof has Solar Panels on the backside of the roof. Huge Gameroom/Loft has a Vaulted ceiling and extra storage w/ 2 closets & Floored attic. Perfect for the Media Room or a Pool Table. Just minutes to Downtown Austin and Zilker Park.","Single Family",30.25319480896,-97.791633605957,2,FALSE,1973,2,11761.2,6,16,2,3
55,"austin","New construction home in Belterra is the perfect holiday gift for you and your family! Expected completion by Winter 2018 and full of features that will delight you.  Enjoy the scenic community surroundings from your extended covered patio.  Open design with clean fresh colors.  Spacious island great for prep and small bites.  Well appointed Owner's Suite with recessed soaking tub.  Wood plank porcelain tile flooring.  Third bay garage for extra storage or hobby work space.  Come see your new home!","Single Family",30.1828193664551,-97.9866256713867,3,FALSE,2018,0,8276,7,16,2,3
56,"austin","Meticulously maintained by the original owner, this beautiful home has it all! Conveniently located in beautiful Chaparral Crossing, this 2-story floor plan features 3 bedrooms and 2.5 baths with all bedrooms upstairs. The living room has an abundance of natural light and the kitchen is spacious and fully open to the dining, perfect for entertaining. The master suite features a beautiful covered balcony where you can enjoy evenings outside and the master bath features a large walk-in shower. Beautifully landscaped, the front yard is maintained by the HOA resulting in a street with beautiful curb appeal. The large concrete back patio is perfect for grilling and entertaining. Fantastic location--neighborhood includes a playground and dog park and it located just minutes from SH130 and 183! This home won't last!","Single Family",30.2385349273682,-97.5754013061523,0,FALSE,2016,1,6185,3,13,3,3
57,"austin","Come see this beautiful four bedroom home with recent floor replacement by Fashion Floors.  Nice custom bookshelf in office area with skylight.  Custom built in cabinet in Dining and Living room area.  Granite Counter tops in Kitchen, solid wood cabinets.  Nice size utility room for washer and dryer with built in cabinets and utility sink.  Green house and Storage building conveys.  Huge sun-room/ game room with incredible view of nature and trees. Huge storage room on side of home can be converted Garage","Single Family",30.174186706543,-97.8596801757812,0,FALSE,1984,0,29185.2,7.33333333333333,17,3,4
58,"austin","Nice, roomy two story home located in great neighborhood.  Carpet just replaced in entire house.  Fresh paint, too.  Make ready being done and backyard fence will be fixed.  Bonus room upstairs could be used as a fourth bedroom if needed.  Spacious entry, great home!!","Single Family",30.1582145690918,-97.7820358276367,2,FALSE,2005,0,5749,5.33333333333333,14,3,3
59,"austin","Great 3 bedroom! Owner finance available!","Single Family",30.1821784973144,-97.7560882568359,1,FALSE,1972,0,5837,3.33333333333333,14,2,3
60,"austin","Huge price reduction. 3 bed room up , 2 full bath up and 1/2 bath down, Completely  remodeled,  New ceramic tile all the way down,  New carpet up. Fresh paint all the way. New granite in the kitchen. Fireplace in the living room. Nice huge backyard. No HOA fee. 2 attached garage.Brand new stainless steel appliances(Range, dishwasher & refrigerator) Convenient location  future Apple will be next door .Go show your client, Ready to move in.","Single Family",30.4473133087158,-97.6868133544922,2,FALSE,1995,0,6969,5.33333333333333,14,3,3
